Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,region
tunisia,1.4074,0.4166,0.0,24.1046,0.9016,1.523,10.8614,3.2822,12.955,0.0232,0.1852,0.4062,0.8622,0.213,3.5448,0.3958,4.1664,0.0,0.6978,2.5102,31.5462,27.3,4.3,1.81721587088097,0.0602051109616678,1.45330363147276,0.303707128446537,11896000.0,Africa
turkey,1.2948,0.2918,0.0,19.416,0.7912,0.5164,13.6642,4.1388,18.7238,0.0202,0.1714,0.544,1.364,0.2502,4.9894,0.4004,3.4008,0.0,0.9328,2.0348,27.0568,32.2,2.5,3.01513787214732,0.0318676331848526,2.88105019286576,0.102220046096708,83737000.0,Asia
uganda,12.3342,0.0704,0.0,13.496,0.163,2.0884,22.6224,1.7956,6.951,0.0742,0.226,1.2676,4.7884,0.024,24.722,0.026,2.5202,0.0,0.0,1.488,5.3406,4.1,41.0,0.0870575632364837,0.0007148947333901,0.0313701055945432,0.0549725629085503,45741000.0,Africa
ukraine,5.25,0.3506,0.0012,18.7226,1.6868,1.3642,5.8836,5.485,17.0884,0.014,0.2678,0.035,0.2198,0.0222,15.3442,0.1766,7.7622,0.0,0.1614,1.294,18.8722,26.1,3.5,3.07592273445354,0.0592058020967974,2.65338216286084,0.363334769495907,41778000.0,Europe
united arab emirates,0.0,0.3792,0.0,25.812,1.1916,3.9364,16.3876,9.88,5.2936,1.8942,0.419,1.2266,4.2216,0.6388,1.7874,0.3298,7.3152,0.0,1.1676,1.5898,16.539,29.9,2.6,3.30744528533442,0.0093475148292084,3.07916751892002,0.218930251585191,9778000.0,Asia
united kingdom,10.5264,0.5508,0.0012,13.0824,1.242,2.1822,9.9102,8.8362,24.7368,1.3316,0.2112,0.448,0.407,0.1306,10.2266,0.4922,4.8766,0.0,0.1802,1.4744,9.1702,29.5,2.5,5.86848272781417,0.167220071471114,0.0151608100059559,5.68610184633711,67160000.0,Europe
united states of america,9.7294,0.3362,0.004,11.0096,1.572,2.2574,9.0864,12.529,25.7314,0.0,0.0394,0.6492,0.3786,0.098,5.678,0.4916,6.64,0.0,0.3544,1.9778,11.4498,37.3,2.5,8.15992184989602,0.140103007778633,0.0,8.01981884211739,329878000.0,Americas
uruguay,7.1328,0.42,0.0,20.502,1.5528,1.2116,10.7492,7.5726,24.7812,0.7836,0.2336,0.554,0.3872,0.0288,6.088,1.2338,6.8204,0.0,0.0262,2.0674,7.8666,28.9,2.5,1.26910223732654,0.0136222033418295,1.08946474086661,0.166015293118097,3531000.0,Americas
uzbekistan,1.367,0.2706,0.0,21.073,0.7132,0.2436,10.43,3.7242,23.5904,0.08,0.3496,0.0574,0.0044,0.0076,5.7782,0.1288,1.1592,0.0,0.1298,1.2218,29.6708,15.3,6.3,0.231301574296249,0.0018171709486744,0.226751331421549,0.0027330719260256,34174000.0,Asia
vanuatu,0.4848,0.1586,0.0,12.8204,0.375,4.3298,11.6206,5.4932,2.5384,0.5764,0.3552,24.3526,0.0016,0.0748,25.455,0.061,2.729,0.0,0.0076,0.7348,7.835,23.5,7.2,0.0003115264797507,0.0,0.0003115264797507,0.0,321000.0,Oceania
venezuela (bolivarian republic of),5.1904,0.0806,0.0,25.8506,0.6778,1.8912,15.292,7.6656,18.784,0.1404,0.4156,0.0562,0.6684,0.0018,5.1286,0.2958,6.8212,0.0,0.0018,2.7468,8.2948,25.2,21.2,0.452585093384535,0.0042869610752312,0.424398673415954,0.0238994588933496,28645000.0,Americas
vietnam,2.9182,0.328,0.0084,33.748,0.6154,5.2784,11.8058,8.8764,1.2138,0.0252,0.8298,1.682,0.4064,0.4148,2.1192,0.576,2.5692,1.63,0.614,0.4402,23.9016,2.1,9.3,0.0020632165389932,3.63791329293517e-05,0.0015258447754368,0.000500992630627,96209000.0,Asia
yemen,0.0728,0.0892,0.0,54.4154,0.5158,1.048,10.2688,5.5742,3.7822,0.4066,0.5654,0.1786,1.729,0.0694,2.1588,0.4398,10.0936,0.0,0.0034,2.1622,6.427,14.1,38.9,0.0071313618990142,0.002061959364313,0.0047877690605512,0.00028163347415,29826000.0,Asia
zambia,11.472,0.1658,0.0,42.3876,0.6798,3.3848,2.0366,3.6854,3.514,0.4298,0.6096,3.7472,0.3512,0.0956,15.9298,0.1236,3.1264,0.0,0.0028,1.3314,6.9298,6.5,46.7,0.334132941688425,0.0045637510879025,0.290524369016536,0.0390448215839861,18384000.0,Africa
zimbabwe,8.1104,0.151,0.0,45.248,0.5356,1.1036,4.4,5.2284,8.862,0.4024,0.4172,0.8996,0.8522,0.0504,5.974,0.2988,9.297,0.0,0.1036,3.4206,4.6426,12.3,51.3,0.232032564085313,0.0088542017089416,0.190964139137455,0.0322142232389154,14863000.0,Africa
