Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,region
gabon,12.3762,0.0218,0.0,18.2316,0.1402,4.5156,18.0682,8.64,1.8972,0.9502,1.1516,1.7018,0.0278,0.003,23.7454,0.0424,2.5016,0.2496,0.0102,0.9648,4.7958,13.4,10.5,0.51353653070372,0.0031824294038547,0.483953384132676,0.0264007171671896,2231000.0,Africa
gambia,5.6838,0.0228,0.0,43.7816,0.4016,7.8394,1.7484,2.2268,9.6334,1.9648,0.1624,6.3274,0.2562,0.0086,1.7228,0.5438,8.2352,0.0,0.1794,4.4052,4.915,8.7,10.2,0.175299958626396,0.0055440628878775,0.160777823748448,0.0089780719900703,2417000.0,Africa
georgia,5.0686,0.4712,0.0,31.2506,1.0064,1.3244,6.347,5.2434,22.721,1.5764,0.3014,0.168,0.005,0.0494,7.5084,0.4794,6.622,0.0,0.3262,1.336,8.1986,23.3,7.9,7.04226110363392,0.0879946164199192,6.80524899057873,0.149017496635262,3715000.0,Asia
germany,13.5428,1.343,0.0022,12.0726,1.1894,1.3516,7.2262,9.3048,28.3578,0.0,0.1494,0.3402,0.0838,0.0858,7.1424,0.6986,5.014,0.0,0.3806,1.6208,10.1084,25.7,2.5,2.74310084033613,0.073890756302521,2.45136614645858,0.21784393757503,83300000.0,Europe
ghana,1.8888,0.0176,0.0,12.646,0.141,2.9984,20.8548,1.6138,0.8356,0.3314,0.1834,1.5914,0.784,0.476,49.265,0.0106,1.6256,0.563,0.0728,0.731,3.3698,9.7,5.5,0.225424001544749,0.0014449843915939,0.204363917227175,0.0196150999259808,31073000.0,Africa
greece,4.5758,0.4232,0.001,14.5602,0.9078,2.052,12.6592,7.5672,24.0442,0.1192,0.3894,1.6224,0.5078,0.0486,6.2614,0.512,3.5488,0.0,1.3352,3.0474,15.8268,27.4,2.5,1.52535514018692,0.0556168224299065,0.876299065420561,0.593439252336449,10700000.0,Europe
guatemala,3.4074,0.1914,0.0,30.3158,2.9352,0.5614,13.4248,7.9178,8.8186,0.0696,0.3264,1.0552,3.3008,0.0806,2.6632,0.5744,10.6116,0.0,0.396,1.7494,11.5994,18.8,15.2,0.901898594044061,0.0324034097199159,0.824294254400531,0.0452009299236134,18066000.0,Americas
guinea,0.622,0.0426,0.0,34.5822,0.3296,1.7878,15.879,2.3122,2.9448,0.4624,0.3384,1.9012,0.785,0.0,23.5916,0.2392,2.6736,0.0,0.0018,2.6542,8.8572,6.6,16.5,0.116759554140127,0.0006687898089171,0.114012738853503,0.002078025477707,12560000.0,Africa
guyana,3.7416,0.0412,0.0,19.5694,0.2076,3.4022,11.5908,5.0474,9.4554,0.7032,0.077,3.6734,0.7814,0.3884,3.6768,0.1484,6.465,0.0,0.087,0.5558,30.4122,19.2,8.1,1.00876747141042,0.0228716645489199,0.884625158831004,0.101270648030496,787000.0,Americas
haiti,2.5466,0.0804,0.0,26.8392,0.105,1.0128,24.0556,3.9374,1.753,0.6618,0.3064,0.9658,4.0134,0.0044,22.96,0.7602,4.1922,0.0,0.0,1.7484,4.0604,20.5,49.3,0.103113215820398,0.0021485573971761,0.0802946593001842,0.0206699991230378,11403000.0,Americas
honduras,4.1324,0.2756,0.0,28.3398,0.9202,0.6678,13.6928,7.016,18.0308,1.3846,0.301,0.3498,2.7924,0.0276,1.3592,0.9372,11.9182,0.0,0.0552,2.4934,5.3198,19.4,12.9,1.5602696674777,0.0376115166261152,0.626368613138686,0.896289537712895,9864000.0,Americas
hungary,13.5066,2.119,0.0014,15.1816,1.777,0.8226,6.1704,10.4084,24.9136,0.0078,0.0104,0.1358,0.3812,0.3604,6.092,0.2062,5.0866,0.0,0.0366,1.4428,11.3576,28.6,2.5,3.84073922391727,0.13336746186137,2.84579707177229,0.861574690283608,9767000.0,Europe
iceland,9.509,1.8922,0.005,8.2392,1.1114,9.2234,9.681,9.2538,26.0056,2.8044,0.4464,0.3518,0.0752,0.1352,3.9818,0.9252,7.8944,0.0,0.1504,0.9334,7.3748,23.1,2.5,1.63614130434783,0.0078804347826087,1.61929347826087,0.0089673913043478,368000.0,Europe
india,0.3918,0.0056,0.0,34.7642,0.6122,1.2998,10.8666,0.712,19.9778,0.0,0.0622,1.456,3.1418,0.6536,5.5812,0.1506,3.4942,0.0,0.3052,1.4974,15.0426,3.8,14.5,0.77325641025641,0.0110703521177059,0.751560674237554,0.0106253839011499,1400100000.0,Asia
indonesia,0.1588,0.0618,0.0018,48.7836,0.9822,7.8772,11.0268,2.0632,1.1886,0.0052,0.3404,4.4226,0.1976,0.3016,9.2686,0.0812,3.6962,0.0,0.1128,1.7158,7.7116,6.9,8.3,0.422099882607944,0.0115526295452622,0.345619877897541,0.0649273751651401,271739000.0,Asia
iran (islamic republic of),0.0014,1.0738,0.004,28.0282,0.9832,1.5626,15.847,4.793,7.1616,0.0014,0.281,0.108,0.9458,0.1118,6.5754,0.2598,4.396,0.0,1.2842,1.5412,25.0414,25.5,4.9,1.73424836601307,0.0694141414141414,1.4823220439691,0.182512180629828,84150000.0,Asia
iraq,0.383,0.0846,0.0,48.171,2.4934,0.89,12.995,5.0342,3.9804,0.795,0.0792,0.6074,0.9614,0.0608,2.1684,0.3566,6.751,0.0,0.2536,4.0278,9.9126,27.4,29.0,1.57939836375079,0.0330044052863436,1.50828697293896,0.0381069855254877,39725000.0,Asia
ireland,15.1406,1.742,0.001,12.6114,0.9306,2.3884,6.7992,8.0204,23.8938,0.5902,0.1662,0.3466,0.265,0.0724,7.0724,0.371,8.0294,0.0,0.1672,1.4994,9.902,26.9,2.5,4.04853088147112,0.0734359384369378,0.466999800119928,3.50809514291425,5003000.0,Europe
israel,2.5752,0.2052,0.0034,15.2554,1.1328,2.9392,12.7492,11.0006,21.8132,0.5204,0.4014,1.0466,0.728,0.0556,3.995,0.5238,3.5494,0.0,0.4524,3.3486,17.7172,26.7,2.5,7.43905164930556,0.0550238715277778,6.60963541666667,0.774392361111111,9216000.0,Asia
italy,6.3784,0.5668,0.001,17.0834,1.2494,3.1632,12.0414,8.5926,24.2516,0.0806,0.2388,0.3672,0.5562,0.0128,3.8086,0.5892,3.435,0.0,0.846,2.8448,13.8926,22.9,2.5,4.353685153244,0.150927093007828,3.49452865861749,0.708229401618681,60296000.0,Europe
jamaica,4.9272,0.4148,0.0148,17.0062,0.2914,3.7384,16.1322,8.6744,10.434,1.3904,0.4222,1.998,0.4354,0.7504,9.1674,0.3354,9.3778,0.0,0.022,1.5168,12.9544,24.4,8.0,0.599537201851193,0.0127091491634033,0.435208259166963,0.151619793520826,2809000.0,Americas
japan,8.088,0.1502,0.2176,24.3384,3.392,7.8566,5.7236,8.5198,10.126,0.5924,0.3766,1.5474,0.2574,0.2072,4.4144,0.7462,4.411,0.456,0.1624,2.689,15.7338,4.4,2.5,0.32082053236165,0.0050592615526288,0.284769820667318,0.0309914501417038,125967000.0,Asia
jordan,0.1692,0.2324,0.0,28.276,0.6688,1.197,9.3248,7.7302,8.5274,0.7158,0.2794,1.456,1.2786,0.0938,4.2862,0.7484,9.4552,0.0,0.3304,3.9722,21.2616,33.4,12.2,3.12627586852702,0.0409120704185785,2.9917595280457,0.09360427006274,10679000.0,Asia
kazakhstan,4.3838,0.7222,0.0,13.0238,0.9168,0.4786,6.429,6.9002,28.7182,0.5934,0.5828,0.2308,0.051,0.0212,10.951,0.2638,2.912,0.0,0.169,2.243,20.411,21.3,2.5,1.29940209267564,0.0166506512919069,1.13776425368354,0.144987187700192,18732000.0,Asia
kenya,3.9328,0.235,0.0,30.2442,0.2894,0.8658,9.3882,3.4672,17.5974,0.05,0.422,0.5372,3.502,0.0348,15.1656,0.446,3.6196,0.0,0.1784,1.3378,8.69,6.0,29.4,0.189975340008967,0.0033178897025855,0.157491406366761,0.0291660439396204,53528000.0,Africa
"korea, south",9.7338,0.5106,3.3588,23.4572,1.2828,6.8792,7.3986,8.8478,2.2788,0.0,0.4756,1.1264,0.144,0.0576,1.9598,0.189,4.967,0.0012,0.3328,2.3326,24.6698,4.9,2.5,0.156227187578455,0.0028408103358374,0.136855217164597,0.0165311600780209,51781000.0,Asia
kuwait,0.0088,0.0044,0.0044,22.8264,2.6612,1.6686,10.6116,9.754,6.9576,1.7108,0.3938,0.5566,0.8706,0.404,6.4592,0.5392,5.8326,0.0552,0.3024,2.3952,25.9906,37.0,2.8,3.6247282029418,0.0205499893412918,3.4340865487103,0.170091664890215,4691000.0,Asia
kyrgyzstan,1.2626,0.382,0.0,20.2118,0.5306,0.14,4.5692,3.7414,25.6016,0.4152,0.5208,0.0196,0.6878,0.0394,11.6136,0.1216,6.499,0.0,0.2898,0.71,22.6438,15.4,7.1,1.28892932969366,0.0215802244464665,1.23660903851987,0.0307400667273279,6594000.0,Asia
latvia,10.9146,2.361,0.001,12.7904,1.329,2.6452,5.1476,7.3118,23.657,0.5192,0.3372,0.2214,0.0064,0.0244,13.167,0.3926,5.2338,0.0,0.1586,1.398,12.3892,25.7,2.5,3.74973711882229,0.0697686645636172,3.12297581493165,0.556992639327024,1902000.0,Europe
lebanon,1.4328,0.1592,0.0,23.6506,0.346,1.4182,13.9704,3.8938,10.1496,0.1494,0.1706,1.0104,1.0022,0.0812,6.5352,0.7294,10.2732,0.0,1.0542,2.9614,21.0256,31.3,11.0,4.65693772893773,0.0521904761904762,2.94706227106227,1.65768498168498,6825000.0,Asia
lesotho,6.827,0.0466,0.0,46.929,0.2408,0.4766,3.613,5.058,5.5786,0.7796,0.7848,0.145,2.3206,0.233,14.387,0.0726,4.4158,0.0,0.0104,1.3572,6.7442,13.5,13.1,0.437908496732026,0.0085434173669467,0.126330532212885,0.303034547152194,2142000.0,Africa
liberia,2.0676,0.0528,0.0,32.293,0.3196,1.5528,10.7212,4.8246,0.309,0.5994,0.4622,0.8318,0.1954,0.0026,30.7216,0.0264,2.2472,2.3608,0.1558,3.9134,6.3456,8.6,37.2,0.0386714116251483,0.0016607354685646,0.034994068801898,0.0020166073546856,5058000.0,Africa
lithuania,11.0838,1.0632,0.0018,12.9464,1.4,3.0862,4.8014,7.5798,32.7058,0.0252,0.2602,0.1734,0.8776,0.1092,4.5532,0.4328,9.004,0.0,0.11,0.9848,8.809,28.4,2.5,6.66707229778096,0.104760200429492,4.93962061560487,1.6226914817466,2794000.0,Europe
luxembourg,16.1716,1.0886,0.0102,10.2732,1.575,3.2498,8.9682,8.0938,14.9858,0.7754,0.2072,0.3316,0.0798,0.1172,4.4134,2.5646,16.2242,0.0,0.0616,1.126,9.7072,24.2,2.5,8.1506329113924,0.0933544303797468,7.66155063291139,0.395727848101266,632000.0,Europe
madagascar,1.5944,0.083,0.0048,39.9208,0.154,1.2534,10.1402,2.9236,5.0062,0.1564,0.4004,0.3696,0.7416,0.0972,28.935,0.417,2.1844,1.1704,0.0522,0.623,3.7742,4.5,44.4,0.0688490845401033,0.0010147701419233,0.0657794951428262,0.0020548192553537,27691000.0,Africa
malawi,2.3654,0.1628,0.0,21.2394,0.1658,1.394,16.9446,2.9846,0.5048,0.0792,0.339,1.0872,2.3682,0.0278,40.5802,0.0778,1.2824,0.0,0.0322,0.408,7.9572,4.7,17.5,0.140486147412441,0.0043753267119707,0.0593204391008887,0.0767903815995818,19130000.0,Africa
malaysia,1.7896,0.1764,0.0408,34.6176,3.3192,10.6964,8.3426,9.8184,1.06,0.3082,0.1578,1.1602,0.5234,0.9004,3.3136,0.2024,7.806,0.0,0.167,3.2672,12.3356,15.3,2.5,0.72822976724322,0.002614319270309,0.57036087977792,0.155254568194991,32781000.0,Asia
maldives,1.3718,0.0058,0.0136,23.077,2.2844,17.5918,12.1554,4.0102,4.631,6.063,0.0038,0.4164,0.1616,0.6868,3.2806,0.792,5.958,0.2004,1.5138,0.3638,15.436,7.9,10.3,3.07874306839187,0.0099815157116451,2.690573012939,0.37818853974122,541000.0,Asia
mali,5.7808,0.0888,0.0,39.7132,0.1146,1.5086,7.7982,3.8248,14.2412,0.3682,0.5492,0.982,1.591,0.1276,5.3544,0.1228,1.7622,0.0,0.4748,1.0288,14.5886,7.1,6.3,0.0402943064540023,0.00166905338008,0.0298948200088884,0.0087304330650338,20251000.0,Africa
malta,7.8102,0.4124,0.0034,15.7992,1.3428,3.5844,9.262,9.2192,12.5092,0.063,0.1494,0.5798,0.4394,0.0662,4.118,0.4202,10.4328,0.0,0.2472,0.972,22.5712,31.0,2.5,3.55862068965517,0.053448275862069,3.04521072796935,0.459961685823755,522000.0,Europe
mauritania,0.011,0.2254,0.0,40.9746,0.5078,2.005,2.5982,6.7988,19.65,1.5038,0.8558,0.1598,2.1998,0.0132,2.0336,0.7354,8.6332,0.0,0.0,3.1432,7.9568,11.3,10.4,0.361118279569893,0.0091397849462365,0.343763440860215,0.0082150537634408,4650000.0,Africa
mauritius,6.161,0.0148,0.0204,34.371,1.182,4.2606,7.136,9.3984,3.4332,2.109,0.2346,0.8958,1.712,0.3694,3.6696,0.325,7.136,0.0,0.0738,4.098,13.4244,11.5,6.5,0.0461660079051383,0.000790513833992,0.0426877470355731,0.0026877470355731,1265000.0,Africa
mexico,8.821,0.3344,0.0402,22.865,2.5934,1.9312,15.3588,8.7122,15.9834,0.055,0.7104,0.3894,1.4142,0.2242,2.3288,0.0496,6.4532,0.0,0.2242,1.3712,10.1426,28.4,3.6,1.50719919869788,0.129731125579066,1.15980499561788,0.217663077500939,127792000.0,Americas
mongolia,6.286,0.7692,0.0,20.283,0.7454,0.088,2.0826,16.1858,31.712,1.1924,2.2822,0.0532,0.0732,0.0074,5.231,0.2802,2.936,0.0,0.0274,1.11,8.6652,19.6,13.4,0.0601904195180006,5.9506099375186e-05,0.0431121689973222,0.0170187444213032,3361000.0,Asia
montenegro,4.4376,0.4134,0.0028,10.0894,1.1084,1.2944,11.4594,6.7208,35.8974,1.694,0.2264,0.173,0.4226,0.035,2.391,0.521,12.0836,0.0,0.1896,0.8516,10.0002,24.9,2.5,10.4081993569132,0.134405144694534,9.03987138263666,1.23392282958199,622000.0,Europe
morocco,0.574,0.2898,0.0,37.4058,0.9696,2.7802,14.422,5.0148,7.508,0.0158,0.3898,0.3784,0.6612,0.237,6.8712,0.4084,5.3632,0.0,0.5098,1.6336,14.572,25.6,3.4,1.32111148197597,0.0233116377392078,1.26257510013351,0.0352247441032488,35952000.0,Africa
mozambique,2.439,0.0594,0.0,26.3808,0.3864,2.2706,5.6624,1.8604,3.277,0.313,0.1704,0.2516,2.5618,0.008,44.5728,0.21,2.1298,0.0,0.4022,1.5018,5.5476,6.0,27.9,0.141538856446127,0.0014470897773214,0.0859590579477636,0.0541327087210422,31166000.0,Africa
namibia,10.9432,0.2268,0.0106,19.8378,0.2392,2.0328,6.2532,5.3688,10.8958,1.4456,0.4414,0.1636,1.4596,0.2532,25.6462,0.1776,7.9696,0.0018,0.0228,1.9062,4.7252,15.0,27.3,1.37127115308933,0.0146005509641873,1.31282959464778,0.0438410074773711,2541000.0,Africa
nepal,0.6636,0.0624,0.0,36.3022,0.287,0.41,9.4886,1.9634,7.8424,0.1188,0.3072,0.1188,1.8214,0.839,12.1042,0.0638,1.094,6.1354,0.1956,1.6418,18.554,3.8,8.7,0.906140818775837,0.0067842378983864,0.892825710094679,0.006530870782771,29996000.0,Asia
netherlands,8.7806,0.6686,0.0222,9.937,1.494,2.3034,9.846,8.021,36.0102,0.0,0.0794,0.2222,0.1704,0.128,8.5278,0.5808,4.6892,0.0,0.3174,1.697,6.5174,23.1,2.5,5.81529169290662,0.0828304803343448,0.0760634339039331,5.65639777866835,17467000.0,Europe
new zealand,10.444,1.4892,0.034,15.5044,1.4134,3.3542,8.0404,13.6842,14.9254,0.0,0.255,0.6592,0.4828,0.099,6.7438,0.4748,7.6376,0.0218,0.2998,1.0728,13.3778,32.0,2.5,0.0465209544816523,0.0005013033888109,0.0446962101463806,0.0013234409464608,4987000.0,Oceania
nicaragua,3.4388,0.1672,0.006,33.6104,1.098,1.3114,7.6754,6.2088,17.1054,1.3316,0.411,0.6708,2.7236,0.012,3.8236,0.01,11.4042,0.0,0.006,1.8454,7.1616,21.8,17.0,0.0954972710733778,0.0025773195876288,0.0640539721043056,0.0288659793814433,6596000.0,Americas
niger,0.1116,0.237,0.0,44.5686,0.0478,0.4044,5.1006,2.5404,10.8448,0.1374,0.4044,2.9608,6.9676,0.1614,2.6978,0.0698,0.7332,0.0,0.0,0.795,21.2234,4.7,16.5,0.0190086402910414,0.0006821282401091,0.0163297366571582,0.001996775393774,24189000.0,Africa
nigeria,8.0074,0.0302,0.0,21.844,0.3952,1.4478,8.8536,1.135,0.346,0.0874,0.1254,0.9526,1.6622,0.343,39.0542,0.0128,1.3002,0.0,0.1682,1.7146,12.5254,7.8,13.4,0.0675472979528476,0.0007989715727175,0.0546022120888716,0.0121461142912584,206140000.0,Africa
norway,7.5878,1.2238,0.001,11.9554,1.2388,5.4932,8.5602,7.2166,27.0454,7.3268,0.1786,0.6226,0.6408,0.047,5.6194,0.9638,4.5304,0.0,0.198,1.7394,7.8262,25.0,2.5,1.2001670688695,0.0108037868943753,0.334100612585855,0.85526266938927,5387000.0,Europe
oman,0.5242,0.1142,0.0,19.367,1.1482,4.021,19.574,6.1062,15.253,0.0846,0.3776,0.2676,0.5552,0.4594,3.3968,0.279,5.1806,0.0154,0.1042,1.399,21.7804,22.9,6.8,2.86528750265224,0.0325058349246764,2.70031826861871,0.132463399108848,4713000.0,Asia
pakistan,0.017,0.1938,0.0022,29.2448,0.7154,0.3662,4.8198,3.5914,39.2932,0.0234,0.3938,0.7154,1.3986,0.3236,3.6404,1.0516,5.3414,3.583,0.1704,0.6834,4.4346,7.8,20.3,0.250961346972029,0.0054164026432515,0.230941432063004,0.0146035122657735,220940000.0,Asia
panama,13.2508,0.4934,0.0062,28.5254,0.9208,2.01,13.3566,9.96,10.706,1.4862,0.5746,0.9178,0.8258,0.0306,2.7516,0.239,8.4554,0.0,0.072,1.529,3.896,22.5,10.0,7.62232080317535,0.127363997198226,6.77385010506654,0.721106700910577,4283000.0,Americas
paraguay,7.819,0.4382,0.0,15.1278,1.807,0.6238,10.9064,8.0868,10.6416,0.3576,0.935,0.549,1.237,0.0164,25.0604,2.0224,4.8168,0.0,0.003,2.1466,7.4226,19.0,10.7,1.89666436940041,0.0386905582356995,1.56259131633356,0.295382494831151,7255000.0,Americas
peru,7.7246,0.0632,0.0028,23.628,1.2862,3.5986,17.1566,3.508,8.1458,0.1438,0.7258,0.4916,1.2734,0.0344,17.5848,0.5002,3.4678,0.0,0.046,1.0132,9.6088,19.1,9.7,3.57374177431148,0.127751035827443,3.31051364854984,0.135477089934194,32824000.0,Americas
philippines,3.9432,0.6148,0.0,40.0996,0.7054,4.9012,17.0932,6.4514,0.209,0.385,0.5434,1.085,0.2212,0.068,5.7546,1.0798,4.7548,0.0,0.3676,0.8238,10.8962,6.0,13.3,0.488698770772305,0.0101386189211633,0.445757019921337,0.0328031319298054,109581000.0,Asia
poland,13.6402,1.9684,0.0,15.8066,0.7404,1.169,6.0158,9.7,19.5084,0.0,0.034,0.1596,0.2198,0.0404,11.1262,0.3018,4.955,0.0,0.0952,0.7918,13.731,25.6,2.5,4.0281745204337,0.101631567973311,3.39233475813178,0.534208194328607,38368000.0,Europe
portugal,9.4294,0.8154,0.001,12.5968,0.8106,5.459,13.0252,9.0336,20.7872,0.2786,0.4158,0.193,0.3236,0.0346,6.212,0.5368,3.4632,0.0,0.4638,1.4492,14.6732,23.2,2.5,7.42960507069722,0.136070209653827,5.84683568990736,1.44669917113603,10255000.0,Europe
romania,9.5358,0.6948,0.0,16.0824,1.3696,0.5688,8.423,6.0998,22.8036,0.5134,0.3188,0.1948,0.209,0.2548,9.426,0.2796,2.8252,0.0,0.2186,1.4602,18.7282,24.5,2.5,3.86332830933943,0.0977547944493529,3.58335845330284,0.182215061587236,19241000.0,Europe
russian federation,7.485,0.4972,0.0046,16.5606,1.8058,2.2624,6.324,8.636,18.6506,0.0236,0.4498,0.2638,0.2852,0.0236,12.6388,0.3618,9.2288,0.0,0.0236,1.7326,12.7426,25.7,2.5,2.66310441413997,0.0511200616084998,2.31614224475748,0.295842107773984,146733000.0,Europe
rwanda,2.7262,0.0372,0.0,7.076,0.0538,1.0558,31.457,1.2514,2.7042,0.0566,0.171,0.4466,5.0072,0.0358,40.883,0.022,1.1564,0.0,0.0,0.4218,5.4386,4.8,36.8,0.12613495985176,0.0016754169240271,0.0930126621371217,0.0314468807906115,12952000.0,Africa
saint vincent and the grenadines,5.052,0.044,0.0,18.0284,0.6824,2.757,20.942,13.8368,4.5186,3.865,0.3344,0.2098,1.2904,0.4226,8.7468,0.5866,6.9184,0.0,0.0714,1.4454,10.2742,23.8,5.7,1.08288288288288,0.0027027027027027,0.361261261261261,0.718918918918919,111000.0,Americas
samoa,2.8472,0.4524,0.2472,7.3536,0.2628,5.5576,21.569,11.5986,3.9294,1.5502,0.2796,21.0374,0.0,0.1164,15.3888,0.2688,4.1622,0.0072,0.0216,1.0234,2.3312,45.5,2.7,0.001,0.0,0.001,0.0,200000.0,Oceania
